Date,Close,High,Low,Open,Volume
2018-01-01,193.5,193.5,193.5,193.5,0
2018-01-02,199.35,199.5,194.5,195.78,8890417
2018-01-03,212.47,213.7,203.75,204.1,22867591
2018-01-04,213.59,218.05,212.69,215.76,14581720
2018-01-05,215.4,216.91,211.08,214.19,14503103
2018-01-08,222.0,225.0,218.58,220.4,22030422
2018-01-09,221.94,223.82,218.64,222.22,12424995
2018-01-10,223.68,223.82,216.0,218.2,14566626
2018-01-11,224.08,226.27,223.21,225.0,10150767
2018-01-12,222.98,224.99,221.34,223.6,8997902
2018-01-15,222.98,222.98,222.98,222.98,0
2018-01-16,220.11,227.51,216.69,224.05,17558687
2018-01-17,224.72,225.12,216.9,220.7,13460222
2018-01-18,224.44,226.64,222.68,223.94,10215841
2018-01-19,230.11,231.09,227.0,228.09,15234486
2018-01-22,233.69,233.76,228.1,230.43,13773561
2018-01-23,238.91,239.83,235.101,235.85,11880705
2018-01-24,235.8,240.4936,233.55,239.04,14499309
2018-01-25,236.35,239.75,235.75,238.0,10247091
2018-01-26,243.33,243.34,237.6,238.12,12908854
2018-01-29,246.85,248.11,240.61,242.74,11377853
2018-01-30,242.72,246.42,238.41,241.11,14270844
2018-01-31,245.8,249.27,244.45,245.77,11964444
2018-02-01,240.5,246.9,238.06,238.52,12980572
2018-02-02,233.52,237.97,231.17,237.0,17961555
2018-02-05,213.7,233.23,205.0,227.0,29130140
2018-02-06,225.58,225.7,204.0,204.4,27870031
2018-02-07,228.8,234.97,226.7,229.58,20073316
2018-02-08,217.52,235.22,217.51,233.88,28599976
2018-02-09,232.08,238.89,217.52,238.25,41865077
2018-02-12,228.03,235.48,225.0305,235.355,27329342
2018-02-13,232.63,234.5,225.25,226.56,15638119
2018-02-14,241.42,242.5925,230.55,231.0,18624749
2018-02-15,246.5,248.37,241.52,244.785,17472515
2018-02-16,243.84,250.0,243.47,245.4,15941426
2018-02-19,243.84,243.84,243.84,243.84,0
2018-02-20,249.08,251.87,244.6,244.75,17155962
2018-02-21,241.51,251.9675,241.36,251.69,22307344
2018-02-22,242.15,245.63,239.5,242.73,13359133
2018-02-23,245.93,245.93,242.5201,244.57,10382510
2018-02-26,246.58,247.98,244.06,247.8,11732844
2018-02-27,246.06,248.91,245.13,245.5,11385899
2018-02-28,242.0,248.1,241.53,246.5,13077878
2018-03-01,232.21,244.09,228.1248,241.91,26002972
2018-03-02,236.54,236.8,221.85,227.86,22835685
2018-03-05,235.65,237.25,229.521,234.51,15519413
2018-03-06,242.16,242.94,237.36,239.1,15920243
2018-03-07,241.84,243.95,237.95,238.0,14530226
2018-03-08,241.18,242.95,239.3907,242.95,10297761
2018-03-09,245.33,245.85,242.4501,243.1,12638148
2018-03-12,249.76,253.0,246.6723,247.0,15126541
2018-03-13,247.71,254.5,246.04,251.49,15494309
2018-03-14,248.74,250.55,246.22,249.45,12637361
2018-03-15,249.34,252.62,247.64,249.29,10048837
2018-03-16,250.48,251.25,248.48,250.0,9986432
2018-03-19,241.0,249.35,237.0,248.18,17844338
2018-03-20,249.58,251.15,241.12,241.12,13867409
2018-03-21,248.56,252.0,247.33,249.32,10967216
2018-03-22,241.85,247.88,240.341,246.0,13779919
2018-03-23,232.97,242.67,232.52,242.4,18390461
2018-03-26,244.48,244.53,235.9,238.0,15285640
2018-03-27,225.52,250.0,219.845,247.75,35225012
2018-03-28,221.35,229.39,217.0,224.13,23647648
2018-03-29,231.59,235.5,220.7002,224.105,22915692
2018-03-30,231.59,231.59,231.59,231.59,0
2018-04-02,221.05,234.65,217.5,228.74,23052315
2018-04-03,225.35,230.35,221.35,227.8,16685759
2018-04-04,226.24,226.6606,214.0,215.01,19729161
2018-04-05,221.38,229.13,218.49,228.6,17530973
2018-04-06,214.25,221.6,213.0735,217.23,16574720
2018-04-09,215.41,221.97,214.6,216.8,12488120
2018-04-10,227.91,229.0,222.41,224.72,19118807
2018-04-11,226.24,228.976,224.921,227.31,11506057
2018-04-12,234.6,235.32,228.2149,230.0,14847950
2018-04-13,231.5,237.51,229.55,237.17,12575892
2018-04-16,231.49,232.84,227.68,231.772,8769776
2018-04-17,237.54,238.4,231.35,233.6,11180638
2018-04-18,236.37,239.25,232.77,235.5,9784058
2018-04-19,229.04,233.1,226.8,231.7452,11799933
2018-04-20,228.71,232.1,227.45,228.69,9654966
